categoria,nivel,jurisdicao,visto,data_round,ocupacao,anzsco,ocupacao_canonica,classificacao,classificacao_versao,nivel_ocupacional,codigo_status,identidade_ocupacional,metrica,valor,unidade_extra,fonte_url,arquivo_local,sha256_fonte,validado
visto_de_convite,federal,FEDERAL,189,2026-06-04,agregado,,agregado,,,unclassified,missing,UNCLASSIFIED:agregado,eois_convidados,10000,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Actuary,224111,Actuary,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:224111,pontos_minimos,90,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Agricultural Consultant,234111,Agricultural Consultant,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:234111,pontos_minimos,80,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Agricultural Scientist,234114,Agricultural Research Scientist,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:234114,pontos_minimos,80,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Airconditioning and Mechanical Services Plumber,334112,Airconditioning and Mechanical Services Plumber,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:334112,pontos_minimos,65,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Airconditioning and Refrigeration Mechanic,342111,Airconditioning and Refrigeration Mechanic,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:342111,pontos_minimos,80,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Architect,232111,Architect,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:232111,pontos_minimos,85,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Arts Administrator or Manager,139911,Arts Administrator or Manager,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:139911,pontos_minimos,80,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Audiologist,252711,Audiologist,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:252711,pontos_minimos,75,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
visto_de_convite,federal,FEDERAL,189,2026-06-04,Automotive Electrician,321111,Automotive Electrician,ANZSCO,2022,occupation,abs_exact_title,ANZSCO-2022:321111,pontos_minimos,80,,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,dados/federal/invitation-rounds.html,4d5c7c79cf4ea38c07e08b9281e080240eaeb7e01687422ba7ea5c8095da46c2,true
